id,entity_id,metric_id,geography_id,time_period_id,population_group_id,value,unit_id,source_id,confidence,notes
people-literate,literate-adults,population-count,world,2023,adults,8650000000,people,world-bank,high,"Global adult literacy stands at around 87%. The 13% who cannot read are concentrated in sub-Saharan Africa, South Asia, and among women in conservative regions."
food-calories-daily,food-calories,per-capita-daily,world,2023,all,2850,calories,fao,high,"The world produces enough food — about 2,850 calories per person per day — to feed everyone. Hunger persists due to distribution failures, poverty, and waste, not global scarcity."
food-waste,food-waste,annual-flow,world,2023,all,4000000000,tonnes,fao,medium,"About 1.3 billion tonnes of food — roughly one-third of all food produced — is wasted each year. In wealthy nations most waste is at the consumer end; in poor nations it's mostly post-harvest losses."
water-freshwater-daily,freshwater-use,per-capita-daily,world,2023,all,185,liters,world-bank,medium,"The global average is about 185 liters per person per day across all uses (drinking, cooking, sanitation, agriculture). Americans use ~500 liters; many Africans survive on under 20 liters."
water-no-clean,people-without-safe-water,population-count,world,2023,all,2200000000,people,who,high,"About 2.2 billion people lack access to safely managed drinking water. This is one of the most preventable causes of death and disease worldwide."
energy-electricity,electricity-use,per-capita-annual,world,2023,all,3300,kwh,iea,high,"The average person uses about 3,300 kWh of electricity per year. Americans use ~12,000 kWh; the global average hides vast inequality — an American uses 10× more than someone in Ethiopia."
energy-renewables,renewable-electricity,percentage-share,world,2023,all,300,per-1000-kwh,iea,high,"About 30% of global electricity now comes from renewable sources (hydro, wind, solar, etc.). This share is rising rapidly — wind and solar alone exceeded 13% in 2023."
energy-no-electricity,people-without-electricity,population-count,world,2023,all,730000000,people,iea,high,"About 730 million people — mostly in sub-Saharan Africa and developing Asia — still have no access to electricity. This number has fallen from 1.2 billion in 2010."
housing-homeless,people-inadequate-housing,population-count,world,2023,all,1600000000,people,world-bank,medium,"An estimated 1.6 billion people live in inadequate housing — slums, informal settlements, or without any shelter. This includes 100 million who are literally homeless."
transportation-cars,cars,object-count,world,2023,all,1450000000,cars,world-bank,high,"There are roughly 1.45 billion cars on Earth — about 1 for every 5 people. But car ownership is extremely unequal: the US has ~800 cars per 1,000 people; India has about 30."
transportation-flights-annual,commercial-flights,population-count,world,2023,all,1500000000,people,world-bank,medium,"About 1.5 billion people took at least one commercial flight in 2023 (IATA). That's 150 out of every 1,000 people on Earth who fly at least once per year — flying remains a minority activity, heavily concentrated in wealthy countries."
money-gdp-per-capita,gdp-per-capita,per-capita-annual,world,2023,all,13500,usd-per-year,world-bank,high,"The global average GDP per capita is about $13,500/year, but the median person earns far less. The US average is ~$65,000; the average in low-income countries is under $1,000."
money-top10-wealth,top10-wealth-share,percentage-share,world,2023,all,760,per-1000-wealth,world-bank,high,"The wealthiest 10% of people hold about 76% of all global wealth. The bottom 50% hold less than 2%. Wealth inequality is far more extreme than income inequality."
environment-forest-loss,annual-forest-loss,annual-flow,world,2023,all,47000000000,hectares,fao,medium,"The world loses about 47 million hectares of forest each year — an area the size of Sweden — though reforestation efforts offset some of this."
environment-co2,co2-per-capita,per-capita-annual,world,2023,all,4600,kg-co2,iea,high,"The average person emits about 4.6 tonnes of CO₂ per year. Americans emit ~14 tonnes; people in the poorest countries emit under 0.5 tonnes — a 30× gap."
healthcare-life-expectancy,life-expectancy,per-capita-annual,world,2023,all,73,years,who,high,"The global average life expectancy is 73 years — up from 48 in 1950. Japan leads at 84; some low-income nations are still under 60."
education-school-age,out-of-school-children,population-count,world,2023,children,260000000,children,world-bank,medium,"About 260 million children and youth are out of school. Most are in conflict-affected zones or the most remote rural areas of sub-Saharan Africa and South Asia."
people-refugees,forcibly-displaced,population-count,world,2023,all,1140000000,people,unhcr,medium,"Over 114 million people are forcibly displaced — including 36 million refugees who have fled their home countries — the highest figure ever recorded."
