observation_id,type,text,source,year
people-internet,anchor,"Sub-Saharan Africa has the lowest internet penetration of any world region — around 40% of people were online in 2023, compared to over 90% in Europe and North America",,
people-smartphones,relationship,China and India together account for roughly a third of all smartphone users on Earth — scale in just two countries that dwarfs most continents,,
people-smartphones,relationship,More people now own a smartphone than have access to safely managed drinking water — consumer technology has spread faster than basic infrastructure in many regions,,
people-smartphones,anchor,"In sub-Saharan Africa, smartphone ownership has grown rapidly but still lags behind other regions — around 40–50% of adults owned a smartphone in 2023, compared to over 80% in Europe",,
people-literate,relationship,"About two-thirds of the world's illiterate adults are women — and most are concentrated in South Asia and sub-Saharan Africa, where gender gaps in schooling remain wide",,
people-literate,relationship,"Global adult literacy has risen dramatically since 1970, driven by the expansion of schooling in Asia and Latin America — but progress has been slower in parts of sub-Saharan Africa",,
people-literate,anchor,"In Mali, around 35% of adults can read and write — among the lowest literacy rates globally — while in wealthy countries near-universal literacy has been achieved for generations",,
food-calories-daily,relationship,"The world produces enough calories to feed every person — the challenge is that food is unevenly distributed, with wealthy populations consuming far more than they need while hundreds of millions go hungry",,
food-calories-daily,anchor,"The United States throws away enough food each year to provide every American with 1,400 calories a day — while 700 million people globally go to bed hungry",,
food-waste,relationship,"In high-income countries, most food is wasted at the retail and consumer stage; in low-income countries, losses happen mostly at harvest, storage, and transport — very different problems with very different solutions",,
food-waste,relationship,Food waste has barely declined in wealthy nations despite decades of awareness campaigns — reducing it remains one of the cheapest ways to cut agricultural emissions,,
food-waste,anchor,"North Americans and Europeans waste roughly 95–115 kg of food per person per year, compared to just 6–11 kg per person in sub-Saharan Africa and South Asia",,
water-freshwater-daily,relationship,Agriculture accounts for about 70% of all freshwater withdrawals globally — meaning the water footprint of food production dwarfs household consumption,,
water-freshwater-daily,relationship,Water use is heavily skewed by wealth and geography — a typical resident of a high-income country uses far more water indirectly through food and goods than someone in a low-income country uses in total,,
water-freshwater-daily,anchor,Americans use roughly 500 litres of water per day; people in Mozambique or Niger typically use under 20 litres — a 25-fold gap that reflects both water scarcity and lack of infrastructure,,
water-no-clean,relationship,"Most people without safe water live in sub-Saharan Africa and South Asia — and the burden falls disproportionately on women and girls, who often walk hours daily to collect it",,
water-no-clean,relationship,"Access to safe water varies enormously even within countries — urban residents in most parts of the world have tap water, while many rural communities in Africa and Asia rely on unprotected wells or rivers",,
water-no-clean,anchor,"In Ethiopia, around 40% of the population lacks access to basic drinking water — one of the higher rates in the world, concentrated in rural and remote areas",,
energy-electricity,relationship,An average American uses about 10 times more electricity per year than the global average — electricity consumption tracks wealth more closely than almost any other resource,,
energy-electricity,relationship,"Global electricity demand has more than doubled since 1990, driven by population growth, industrialisation in Asia, and the rise of consumer electronics",,
energy-electricity,anchor,Sub-Saharan Africa generates about 1% of global electricity despite holding roughly 15% of the world's population — a stark illustration of how unequally energy is distributed,,
energy-renewables,relationship,"The share of renewables in global electricity has roughly doubled since 2010, driven mostly by the dramatic fall in wind and solar costs — both now cheaper than new coal in most markets",,
energy-renewables,relationship,"Solar energy is growing faster than any fuel in history — capacity added globally in 2023 exceeded all previous records, but fossil fuels still dominate total electricity generation",,
energy-renewables,anchor,China installed more solar capacity in 2023 than the entire world had installed in all previous years combined — a single country driving much of the global renewable energy transition,,
energy-no-electricity,relationship,"People without electricity are overwhelmingly concentrated in sub-Saharan Africa and South Asia — and for many, cooking with solid fuels causes more immediate harm than lack of light",,
energy-no-electricity,relationship,"The number of people without electricity has fallen significantly since 2010, driven mainly by India's rural electrification push — but progress in sub-Saharan Africa has been much slower",,
energy-no-electricity,anchor,"In Chad, fewer than 10% of the population has electricity access — one of the lowest rates in the world, with most rural communities entirely off-grid",,
housing-homeless,relationship,"In some sub-Saharan African cities, more than 60% of urban residents live in informal settlements or slums — far higher than in wealthier regions where slums are a much smaller fraction of city populations",,
housing-homeless,relationship,"Inadequate housing is heavily concentrated in low-income countries — rapid urban growth has outpaced housing construction in cities across Africa, South Asia, and Latin America",,
housing-homeless,anchor,"In Nigeria alone, an estimated 40–50 million people live in substandard housing or informal settlements — a single country that illustrates how large the housing deficit is in rapidly urbanising Africa",,
transportation-cars,relationship,"Car ownership rates differ enormously by wealth — the US has about 800 cars per 1,000 people; India has about 30 — a gap that reflects not just wealth but also the quality of public transport infrastructure",,
transportation-cars,relationship,"The wealthiest 10% of countries account for roughly 70% of all cars on the road — car ownership remains heavily concentrated in North America, Europe, and parts of East Asia",,
transportation-cars,anchor,"The United States alone has more than 280 million registered passenger cars — roughly one car per adult, and more than any other country by a wide margin",,
transportation-flights-annual,relationship,"Flying remains one of the most unequally distributed activities on Earth — the majority of flights are taken by a small minority of frequent flyers, mostly in wealthy countries",,
transportation-flights-annual,relationship,"Most people in low-income countries have never flown — air travel is overwhelmingly the activity of wealthier populations, and the gap between rich and poor countries is enormous",,
transportation-flights-annual,anchor,"The US alone accounts for roughly a quarter of all commercial passengers globally — more than all of Africa, South America, and the Middle East combined",,
money-gdp-per-capita,relationship,The average person in the world's 10 richest countries earns roughly 50 times more than the average person in the 10 poorest — a gap that has barely narrowed in decades,,
money-gdp-per-capita,relationship,The global average income is pulled up dramatically by a small number of very wealthy countries — the typical person on Earth earns far less than the average suggests,,
money-gdp-per-capita,anchor,"Luxembourg's GDP per capita exceeds $120,000 per year; Burundi's is under $300 — a 400-fold gap that illustrates how little the global average tells you about any individual country",,
money-top10-wealth,relationship,"Wealth inequality is far more extreme than income inequality — owning assets (property, shares) compounds advantage over time in a way that wages alone do not",,
money-top10-wealth,relationship,"Wealth inequality worsened after the 2008 financial crisis as stock and property prices recovered faster than wages, benefiting those who already owned assets",,
money-top10-wealth,anchor,"North America and Europe together hold more than 60% of all global household wealth, despite containing less than 20% of the world's population",,
environment-forest-loss,relationship,"Deforestation is almost entirely driven by agriculture — clearing land for cattle, soy, palm oil, and subsistence farming, not logging for timber",,
environment-forest-loss,relationship,"Brazil's Amazon deforestation fell by roughly 80% between 2004 and 2012 under strong enforcement policies — then rebounded sharply when those policies weakened, showing deforestation is a political choice",,
environment-forest-loss,anchor,"Brazil, Indonesia, and the Democratic Republic of Congo together account for more than half of all tropical deforestation — three countries defining the pace of global forest loss",,
environment-co2,relationship,"The richest 10% of people are responsible for about half of all global carbon emissions, while the poorest 50% produce less than 10% — climate change is overwhelmingly driven by wealthy consumption",,
environment-co2,relationship,Americans emit roughly 3 times the global average per person; people in low-income countries emit a tiny fraction of that — the gap in emissions per person between rich and poor nations is enormous,,
environment-co2,anchor,A return economy-class flight from London to New York emits roughly 1 tonne of CO₂ per passenger — about as much as an average person in Rwanda emits in an entire year,,
healthcare-life-expectancy,relationship,"Life expectancy has risen dramatically since 1950, driven mainly by reductions in child mortality — but the gap between the richest and poorest countries remains more than 20 years",,
healthcare-life-expectancy,relationship,"Japan leads global life expectancy at around 84 years; Chad sits at around 54 years — a 30-year gap driven by differences in healthcare, nutrition, water access, and conflict",,
healthcare-life-expectancy,anchor,"Sub-Saharan Africa has an average life expectancy of around 62 years — more than 10 years below the global average, with the gap driven largely by preventable diseases and limited healthcare infrastructure",,
education-school-age,relationship,"More than half of out-of-school children live in conflict-affected countries — places where schools have been destroyed, teachers have fled, and families are displaced",,
education-school-age,relationship,"Out-of-school rates are far higher for girls than boys in many parts of sub-Saharan Africa and South Asia — gender, poverty, and conflict compound one another to keep children out of education",,
education-school-age,anchor,"In Nigeria alone, there are an estimated 20 million out-of-school children — the highest number of any country in the world, driven by poverty, insecurity in the north, and the collapse of schools in conflict zones",,
people-refugees,relationship,"The number of forcibly displaced people has more than doubled since 2012, driven by prolonged conflicts that show no sign of resolution — displacement is increasingly long-term, not temporary",,
people-refugees,relationship,"Most refugees are hosted not by wealthy countries but by neighbouring low-income nations — countries like Uganda, Iran, and Colombia host millions despite having far fewer resources than European or North American states",,
people-refugees,anchor,Sudan's conflict alone has produced over 8 million internally displaced people since 2023 — a single crisis straining the entire global humanitarian system,,
energy-no-electricity,anchor,Approximately 47% to 53% of the population in Sub-Saharan Africa lives without electricity,https://unctad.org/publication/commodities-glance-special-issue-access-energy-sub-saharan-africa,2023
energy-no-electricity,anchor,Approximately 22% of the people in DRC Africa have access to electricity,https://unctad.org/publication/commodities-glance-special-issue-access-energy-sub-saharan-africa,2023
energy-no-electricity,relationship,Electrification rate across the Sub-Saharan region has roughly doubled since 2000,https://ourworldindata.org/data-insights/the-global-number-of-people-without-electricity-has-halved-since-2000-but-it-has-increased-in-sub-saharan-africa,April 2026
energy-no-electricity,relationship,"In sub-Saharan Africa, 80% of the Urban population has electricity, but over 60% of the rural population doesn't",https://unctad.org/publication/commodities-glance-special-issue-access-energy-sub-saharan-africa,
