id,observation_id,type,text
fact-waste-geo,food-waste,geographic,"In high-income countries, most food is wasted at the retail and consumer stage; in low-income countries, losses happen mostly at harvest, storage, and transport"
fact-waste-inequality,food-waste,inequality,"North Americans and Europeans waste roughly 95–115 kg of food per person per year, compared to just 6–11 kg per person in sub-Saharan Africa and South Asia"
fact-waste-trend,food-waste,trend,"Food waste has barely declined in wealthy nations despite decades of awareness campaigns — reducing it remains one of the cheapest ways to cut agricultural emissions"
fact-water-anchor,water-freshwater-daily,scale_anchor,"Agriculture accounts for about 70% of all freshwater withdrawals globally — meaning the water footprint of food production dwarfs household consumption"
fact-water-inequality,water-freshwater-daily,inequality,"Americans use roughly 500 litres of water per day; people in Mozambique or Niger typically use under 20 litres — enough for drinking but little else"
fact-water-general,water-freshwater-daily,general,"About 70% of all freshwater humans use goes to agriculture — meaning the water footprint of food is far larger than what comes out of household taps"
fact-noclean-geographic,water-no-clean,geographic,"Sub-Saharan Africa accounts for about a third of the global population without safe water, followed by South Asia — together these two regions hold most of the world's water-insecure people"
fact-noclean-general,water-no-clean,general,"Most people without safe water live in sub-Saharan Africa and South Asia — and the burden falls disproportionately on women and girls who walk hours daily to collect it"
fact-electricity-anchor,energy-electricity,scale_anchor,"If the world's electricity were divided equally, each person's share would be enough for basic lighting and a phone charger — but far less than a typical American household uses"
fact-electricity-geo,energy-electricity,geographic,"Sub-Saharan Africa generates about 1% of global electricity despite holding roughly 15% of the world's population"
fact-electricity-inequality,energy-electricity,inequality,"An average American uses about 10 times more electricity per year than an average person in Ethiopia"
fact-electricity-trend,energy-electricity,trend,"Global electricity demand has more than doubled since 1990, driven by population growth, industrialisation in Asia, and the rise of consumer electronics"
fact-renewables-anchor,energy-renewables,scale_anchor,"China installed more solar capacity in 2023 than the entire world had installed in all years up to 2022 — the energy transition is accelerating faster than most forecasts predicted"
fact-renewables-trend,energy-renewables,trend,"The share of renewables in global electricity has roughly doubled since 2010, driven mostly by the dramatic fall in wind and solar costs — both now cheaper than new coal in most markets"
fact-renewables-general,energy-renewables,general,"Solar energy is growing faster than any fuel in history — capacity added globally in 2023 exceeded all previous records, mostly driven by China, the US, and Europe"
fact-noelectricity-geographic,energy-no-electricity,geographic,"About 80% of people without electricity live in sub-Saharan Africa — a region with some of the best solar resources on Earth yet the least access to modern energy"
fact-noelectricity-general,energy-no-electricity,general,"The 730 million people without electricity are concentrated in sub-Saharan Africa and South Asia — and for many, cooking with solid fuels causes more immediate harm than lack of light"
fact-homeless-anchor,housing-homeless,scale_anchor,"Mumbai's Dharavi neighbourhood — one of the world's largest slums — packs over a million people into less than 2 square kilometres, illustrating how acute urban housing pressure can become"
fact-homeless-general,housing-homeless,general,"An estimated 1.6 billion people live in inadequate housing, including slums and informal settlements — yet only about 100 million are literally without any shelter"
fact-cars-anchor,transportation-cars,scale_anchor,"The US has about 800 cars for every 1,000 people; India has about 30 — a ratio that reflects not just wealth but also the quality of public transport infrastructure"
fact-cars-inequality,transportation-cars,inequality,"The wealthiest 10% of countries account for roughly 70% of all cars on the road — car ownership remains heavily concentrated in North America, Europe, and parts of East Asia"
fact-cars-general,transportation-cars,general,"There are more cars on Earth than there are people in China and India combined, yet the vast majority are owned by people in just a handful of wealthy nations"
fact-flights-anchor,transportation-flights-annual,scale_anchor,"The US alone accounts for roughly a quarter of all commercial passengers globally — more than all of Africa, South America, and the Middle East combined"
fact-flights-inequality,transportation-flights-annual,inequality,"About 80% of the world's population has never been on a plane — flying is overwhelmingly the activity of a relatively small, relatively wealthy global minority"
fact-flights-general,transportation-flights-annual,general,"Flying remains one of the most unequally distributed activities on Earth — the majority of flights are taken by a small minority of frequent flyers, mostly in wealthy countries"
fact-gdp-anchor,money-gdp-per-capita,scale_anchor,"Luxembourg's GDP per capita exceeds $120,000 per year; Burundi's is under $300 — a 400-fold gap that illustrates how little the global average tells you about any individual country"
fact-gdp-inequality,money-gdp-per-capita,inequality,"The average person in the world's 10 richest countries earns roughly 50 times more than the average person in the 10 poorest — a gap that has barely narrowed in decades"
fact-gdp-general,money-gdp-per-capita,general,"The global average GDP per capita is pulled up by high-income countries — the median person on Earth earns far less, closer to $5,000–6,000 per year"
fact-wealth-anchor,money-top10-wealth,scale_anchor,"The wealth of the world's ten richest individuals exceeds the combined wealth of the poorest 40% of humanity"
fact-wealth-geo,money-top10-wealth,geographic,"North America and Europe together hold more than 60% of all global household wealth, despite containing less than 20% of the world's population"
fact-wealth-inequality,money-top10-wealth,inequality,"The bottom 50% of humanity — about 4 billion people — collectively hold less than 2% of all global wealth"
fact-wealth-trend,money-top10-wealth,trend,"Wealth inequality worsened after the 2008 financial crisis as stock and property prices recovered faster than wages, benefiting those who already owned assets"
fact-forestloss-geographic,environment-forest-loss,geographic,"Brazil, Indonesia, and the Democratic Republic of Congo together account for more than half of all tropical deforestation — three countries defining the pace of global forest loss"
fact-forestloss-trend,environment-forest-loss,trend,"Brazil's Amazon deforestation fell by roughly 80% between 2004 and 2012 under strong enforcement policies — then rebounded sharply when those policies weakened, showing deforestation is a political choice"
fact-forestloss-general,environment-forest-loss,general,"Tropical forests are disappearing fastest — Brazil, Indonesia, and the Democratic Republic of Congo account for a large share of global deforestation, mostly driven by agriculture"
fact-co2-anchor,environment-co2,scale_anchor,"A return economy-class flight from London to New York emits roughly 1 tonne of CO₂ per passenger — about as much as an average person in Rwanda emits in an entire year"
fact-co2-inequality,environment-co2,inequality,"The richest 10% of people are responsible for about half of all global carbon emissions, while the poorest 50% produce less than 10% — climate change is driven mostly by the wealthy"
fact-co2-general,environment-co2,general,"The richest 10% of people are responsible for about half of all global carbon emissions, while the poorest 50% produce less than 10%"
fact-lifeexp-anchor,healthcare-life-expectancy,scale_anchor,"Japan leads global life expectancy at around 84 years; Chad sits at around 54 years — a 30-year gap that reflects differences in healthcare, nutrition, water, and conflict"
fact-lifeexp-trend,healthcare-life-expectancy,trend,"Global life expectancy rose from 48 years in 1950 to 73 today — one of the most dramatic improvements in human welfare ever measured, driven mainly by reductions in child mortality"
fact-lifeexp-general,healthcare-life-expectancy,general,"Life expectancy at birth has risen by 25 years globally since 1950, mostly due to better child survival — but the gap between the richest and poorest countries remains over 20 years"
fact-outofschool-geographic,education-school-age,geographic,"More than half of out-of-school children live in conflict-affected countries — places where schools have been destroyed, teachers have fled, and families are displaced"
fact-outofschool-general,education-school-age,general,"About 260 million children are out of school globally, most concentrated in sub-Saharan Africa and South Asia — regions where poverty, conflict, and gender inequality compound one another"
fact-refugees-anchor,people-refugees,scale_anchor,"Sudan alone has produced over 8 million internally displaced people since 2023 — a single conflict creating displacement on a scale that strains the entire global humanitarian system"
fact-refugees-trend,people-refugees,trend,"The number of forcibly displaced people has more than doubled since 2012, driven by prolonged conflicts that show no sign of resolution — displacement is increasingly long-term, not temporary"
fact-refugees-general,people-refugees,general,"Over 114 million people are forcibly displaced globally — including 36 million refugees who have fled their home countries — the highest figure ever recorded"
